tagID,animateType,name,tagAddr,no
TAG_1_3_1,changeImageGroup,F02_1_1_3_1_T,http://192.168.245.3:9898/monitor/lighting/1_3_1,99
TAG_1_3_2,changeImageGroup,untitle_1_1_3_2_T,http://192.168.245.3:9898/monitor/lighting/1_3_2,100
TAG_1_3_3,changeImageGroup,F02_1_1_3_3_T,http://192.168.245.3:9898/monitor/lighting/1_3_3,101
TAG_1_3_4,changeImageGroup,F02_1_1_3_4_T,http://192.168.245.3:9898/monitor/lighting/1_3_4,102
TAG_1_30_1,changeImageGroup,ALL_1_1_30_1_T,http://192.168.245.3:9898/monitor/lighting/1_30_1,103
TAG_1_30_2,changeImageGroup,F01_1_1_30_2_T,http://192.168.245.3:9898/monitor/lighting/1_30_2,104
TAG_1_30_3,changeImageGroup,ALL_1_1_30_3_T,http://192.168.245.3:9898/monitor/lighting/1_30_3,105
TAG_1_30_4,changeImageGroup,F01_1_1_30_4_T,http://192.168.245.3:9898/monitor/lighting/1_30_4,106
TAG_1_31_1,changeImageGroup,F01_1_1_31_1_T,http://192.168.245.3:9898/monitor/lighting/1_31_1,107
TAG_1_31_2,changeImageGroup,F01_1_1_31_2_T,http://192.168.245.3:9898/monitor/lighting/1_31_2,108
TAG_1_31_3,changeImageGroup,F01_1_1_31_3_T,http://192.168.245.3:9898/monitor/lighting/1_31_3,109
TAG_1_31_4,changeImageGroup,F01_1_1_31_4_T,http://192.168.245.3:9898/monitor/lighting/1_31_4,110
TAG_1_32_1,changeImageGroup,F01_1_1_32_1_T,http://192.168.245.3:9898/monitor/lighting/1_32_1,111
TAG_1_32_2,changeImageGroup,F01_1_1_32_2_T,http://192.168.245.3:9898/monitor/lighting/1_32_2,112
TAG_1_32_3,changeImageGroup,F01_1_1_32_3_T,http://192.168.245.3:9898/monitor/lighting/1_32_3,113
TAG_1_32_4,changeImageGroup,F01_1_1_32_4_T,http://192.168.245.3:9898/monitor/lighting/1_32_4,114
TAG_1_33_1,changeImageGroup,F01_1_1_33_1_T,http://192.168.245.3:9898/monitor/lighting/1_33_1,115
TAG_1_33_2,changeImageGroup,F01_1_1_33_2_T,http://192.168.245.3:9898/monitor/lighting/1_33_2,116
TAG_1_33_3,changeImageGroup,F01_1_1_33_3_T,http://192.168.245.3:9898/monitor/lighting/1_33_3,117
TAG_1_33_4,changeImageGroup,F01_1_1_33_4_T,http://192.168.245.3:9898/monitor/lighting/1_33_4,118
TAG_1_34_1,changeImageGroup,F01_1_1_34_1_T,http://192.168.245.3:9898/monitor/lighting/1_34_1,119
TAG_1_34_2,changeImageGroup,F01_1_1_34_2_T,http://192.168.245.3:9898/monitor/lighting/1_34_2,120
TAG_1_34_3,changeImageGroup,F01_1_1_34_3_T,http://192.168.245.3:9898/monitor/lighting/1_34_3,121
TAG_1_34_4,changeImageGroup,F01_1_1_34_4_T,http://192.168.245.3:9898/monitor/lighting/1_34_4,122
TAG_1_35_1,changeImageGroup,F03_1_1_35_1_T,http://192.168.245.3:9898/monitor/lighting/1_35_1,123
TAG_1_35_2,changeImageGroup,F03_1_1_35_2_T,http://192.168.245.3:9898/monitor/lighting/1_35_2,124
TAG_1_35_3,changeImageGroup,F03_1_1_35_3_T,http://192.168.245.3:9898/monitor/lighting/1_35_3,125
TAG_1_35_4,changeImageGroup,F03_1_1_35_4_T,http://192.168.245.3:9898/monitor/lighting/1_35_4,126
TAG_1_36_1,changeImageGroup,F03_1_1_36_1_T,http://192.168.245.3:9898/monitor/lighting/1_36_1,127
TAG_1_36_2,changeImageGroup,F03_1_1_36_2_T,http://192.168.245.3:9898/monitor/lighting/1_36_2,128
TAG_1_36_3,changeImageGroup,F03_1_1_36_3_T,http://192.168.245.3:9898/monitor/lighting/1_36_3,129
TAG_1_36_4,changeImageGroup,F03_1_1_36_4_T,http://192.168.245.3:9898/monitor/lighting/1_36_4,130
TAG_1_37_1,changeImageGroup,F03_1_1_37_1_T,http://192.168.245.3:9898/monitor/lighting/1_37_1,131
