animateType,name,no,tagAddr,tagID,interval
changeImage,AutoClave03.상태,951,http://192.168.245.3:9898/monitor/hvac/2009_5_17,TAG_2009_5_17,NULL
changeImage,AutoClave04.상태,952,http://192.168.245.3:9898/monitor/hvac/2009_5_18,TAG_2009_5_18,NULL
changeImage,공조기09.흄후드02.상태,953,http://192.168.245.3:9898/monitor/hvac/2009_5_19,TAG_2009_5_19,NULL
changeImage,공조기09.공기유동02.상태,954,http://192.168.245.3:9898/monitor/hvac/2009_5_20,TAG_2009_5_20,NULL
changeImage,FCU21-2.상태,955,http://192.168.245.3:9898/monitor/hvac/2009_5_21,TAG_2009_5_21,NULL
changeImage,FCU21-2.기동,956,http://192.168.245.3:9898/monitor/hvac/2009_5_22,TAG_2009_5_22,NULL
changeImage,FCU.6F-7.자동,957,http://192.168.245.3:9898/monitor/hvac/2009_5_23,TAG_2009_5_23,NULL
changeImage,FCU.6F-8.자동,958,http://192.168.245.3:9898/monitor/hvac/2009_5_24,TAG_2009_5_24,NULL
changeTextFloor_1,공조기10.급기온도,959,http://192.168.245.3:9898/monitor/hvac/2010_0_1,TAG_2010_0_1,3600000
changeTextFloor_1,공조기10.환기온도,960,http://192.168.245.3:9898/monitor/hvac/2010_0_2,TAG_2010_0_2,3600000
changeTextFloor_1,공조기10.혼합온도,961,http://192.168.245.3:9898/monitor/hvac/2010_0_3,TAG_2010_0_3,3600000
changeTextFloor_0,공조기10.급기습도,962,http://192.168.245.3:9898/monitor/hvac/2010_0_4,TAG_2010_0_4,3600000
changeTextFloor_0,공조기10.환기습도,963,http://192.168.245.3:9898/monitor/hvac/2010_0_5,TAG_2010_0_5,3600000
changeTextFloor_1,공조기10.급기풍량1,964,http://192.168.245.3:9898/monitor/hvac/2010_0_6,TAG_2010_0_6,NULL
changeTextFloor_1,공조기10.급기풍량2,965,http://192.168.245.3:9898/monitor/hvac/2010_0_7,TAG_2010_0_7,NULL
changeTextFloor_1,공조기10.환기풍량1,966,http://192.168.245.3:9898/monitor/hvac/2010_0_8,TAG_2010_0_8,NULL
changeTextFloor_1,공조기10.정압,967,http://192.168.245.3:9898/monitor/hvac/2010_0_9,TAG_2010_0_9,NULL
changeTextFloor_1,공조기10.실간차압01,968,http://192.168.245.3:9898/monitor/hvac/2010_0_10,TAG_2010_0_10,NULL
changeTextFloor_1,공조기10.실간차압02,969,http://192.168.245.3:9898/monitor/hvac/2010_0_11,TAG_2010_0_11,NULL
changeTextFloor_1,공조기10.실간차압03,970,http://192.168.245.3:9898/monitor/hvac/2010_0_12,TAG_2010_0_12,NULL
changeTextFloor_1,공조기10.실간차압04,971,http://192.168.245.3:9898/monitor/hvac/2010_0_13,TAG_2010_0_13,NULL
changeTextFloor_1,공조기10.실간차압05,972,http://192.168.245.3:9898/monitor/hvac/2010_0_14,TAG_2010_0_14,NULL
changeTextFloor_1,FCU.6F.1-3.실내온도,973,http://192.168.245.3:9898/monitor/hvac/2010_0_15,TAG_2010_0_15,3600000
changeTextFloor_1,FCU.6F.4-5.실내온도,974,http://192.168.245.3:9898/monitor/hvac/2010_0_16,TAG_2010_0_16,3600000
