animateType,name,no,tagAddr,tagID,interval,criteria
changeImage,공조기08.공기유동01.상태,798,http://localhost:9898/current/hvac/2008_3_8,TAG_2008_3_8,NULL,NULL
changeImage,공조기08.흄후드02.상태,799,http://localhost:9898/current/hvac/2008_3_9,TAG_2008_3_9,NULL,NULL
changeImage,공조기08.공기유동02.상태,800,http://localhost:9898/current/hvac/2008_3_10,TAG_2008_3_10,NULL,NULL
changeImage,공조기08.흄후드03.상태,801,http://localhost:9898/current/hvac/2008_3_11,TAG_2008_3_11,NULL,NULL
changeImage,공조기08.공기유동03.상태,802,http://localhost:9898/current/hvac/2008_3_12,TAG_2008_3_12,NULL,NULL
changeImage,공조기08.흄후드04.상태,803,http://localhost:9898/current/hvac/2008_3_13,TAG_2008_3_13,NULL,NULL
changeImage,공조기08.공기유동04.상태,804,http://localhost:9898/current/hvac/2008_3_14,TAG_2008_3_14,NULL,NULL
changeImage,공조기08.흄후드05.상태,805,http://localhost:9898/current/hvac/2008_3_15,TAG_2008_3_15,NULL,NULL
changeImage,공조기08.공기유동05.상태,806,http://localhost:9898/current/hvac/2008_3_16,TAG_2008_3_16,NULL,NULL
changeImage,공조기08.흄후드06.상태,807,http://localhost:9898/current/hvac/2008_3_17,TAG_2008_3_17,NULL,NULL
changeImage,공조기08.공기유동06.상태,808,http://localhost:9898/current/hvac/2008_3_18,TAG_2008_3_18,NULL,NULL
changeImage,공조기08.흄후드07.상태,809,http://localhost:9898/current/hvac/2008_3_19,TAG_2008_3_19,NULL,NULL
changeImage,공조기08.공기유동07.상태,810,http://localhost:9898/current/hvac/2008_3_20,TAG_2008_3_20,NULL,NULL
changeImage,공조기08.흄후드08.상태,811,http://localhost:9898/current/hvac/2008_3_21,TAG_2008_3_21,NULL,NULL
changeImage,공조기08.공기유동08.상태,812,http://localhost:9898/current/hvac/2008_3_22,TAG_2008_3_22,NULL,NULL
changeImage,공조기08.흄후드09.상태,813,http://localhost:9898/current/hvac/2008_3_23,TAG_2008_3_23,NULL,NULL
changeImage,공조기08.공기유동09.상태,814,http://localhost:9898/current/hvac/2008_3_24,TAG_2008_3_24,NULL,NULL
changeImage,공조기08.흄후드10.상태,815,http://localhost:9898/current/hvac/2008_3_25,TAG_2008_3_25,NULL,NULL
changeImage,공조기08.공기유동10.상태,816,http://localhost:9898/current/hvac/2008_3_26,TAG_2008_3_26,NULL,NULL
