id,date_time,date_type,interval,no,subject,tagids,value_type
86,2016-01-27 00:00:01,c,DAY,86,HV6_W_PREVIOUS_YEAR 일별 그래프,HV6_W_PREVIOUS_YEAR:TAG_4560_2_270,AVG
87,2016-01-27 00:00:01,c,DAY,87,HV6_W_TODAY 일별 그래프,HV6_W_TODAY:TAG_4560_2_271,AVG
88,2016-01-27 00:00:01,c,DAY,88,HV6_W_YEAR 일별 그래프,HV6_W_YEAR:TAG_4560_2_272,AVG
89,2016-01-27 00:00:01,c,DAY,89,HV7_W_MONTH 일별 그래프,HV7_W_MONTH:TAG_4560_2_273,AVG
90,2016-01-27 00:00:01,c,DAY,90,HV7_W_PREVIOUS_DAY 일별 그래프,HV7_W_PREVIOUS_DAY:TAG_4560_2_274,AVG
91,2016-01-27 00:00:01,c,DAY,91,HV7_WH_MONTH 일별 그래프,HV7_WH_MONTH:TAG_4560_2_275,AVG
92,2016-01-27 00:00:01,c,DAY,92,HV7_W_PREVIOUS_YEAR 일별 그래프,HV7_W_PREVIOUS_YEAR:TAG_4560_2_276,AVG
93,2016-01-27 00:00:01,c,DAY,93,HV7_W_TODAY 일별 그래프,HV7_W_TODAY:TAG_4560_2_277,AVG
94,2016-01-27 00:00:01,c,DAY,94,HV7_W_YEAR 일별 그래프,HV7_W_YEAR:TAG_4560_2_278,AVG
95,2016-01-27 00:00:01,c,DAY,95,HV8_W_MONTH 일별 그래프,HV8_W_MONTH:TAG_4560_2_279,AVG
96,2016-01-27 00:00:01,c,DAY,96,HV6_WATT_VALUE 일별 그래프,HV6_WATT_VALUE:TAG_4560_2_28,AVG
97,2016-01-27 00:00:01,c,DAY,97,HV8_W_PREVIOUS_DAY 일별 그래프,HV8_W_PREVIOUS_DAY:TAG_4560_2_280,AVG
98,2016-01-27 00:00:01,c,DAY,98,HV8_W_PREVIOUS_MONTH 일별 그래프,HV8_W_PREVIOUS_MONTH:TAG_4560_2_281,AVG
99,2016-01-27 00:00:01,c,DAY,99,HV8_W_PREVIOUS_YEAR 일별 그래프,HV8_W_PREVIOUS_YEAR:TAG_4560_2_282,AVG
100,2016-01-27 00:00:01,c,DAY,100,HV8_W_TODAY 일별 그래프,HV8_W_TODAY:TAG_4560_2_283,AVG
101,2016-01-27 00:00:01,c,DAY,101,HV8_W_YEAR 일별 그래프,HV8_W_YEAR:TAG_4560_2_284,AVG
102,2016-01-27 00:00:01,c,DAY,102,HV9_W_MONTH 일별 그래프,HV9_W_MONTH:TAG_4560_2_285,AVG
103,2016-01-27 00:00:01,c,DAY,103,HV9_W_PREVIOUS_DAY 일별 그래프,HV9_W_PREVIOUS_DAY:TAG_4560_2_286,AVG
104,2016-01-27 00:00:01,c,DAY,104,HV9_W_PREVIOUS_MONTH5 일별 그래프,HV9_W_PREVIOUS_MONTH5:TAG_4560_2_287,AVG
105,2016-01-27 00:00:01,c,DAY,105,HV9_W_PREVIOUS_YEAR 일별 그래프,HV9_W_PREVIOUS_YEAR:TAG_4560_2_288,AVG
106,2016-01-27 00:00:01,c,DAY,106,HV9_W_TODAY 일별 그래프,HV9_W_TODAY:TAG_4560_2_289,AVG
107,2016-01-27 00:00:01,c,DAY,107,HV6_WH_HOUR 일별 그래프,HV6_WH_HOUR:TAG_4560_2_29,AVG
108,2016-01-27 00:00:01,c,DAY,108,HV9_W_YEAR 일별 그래프,HV9_W_YEAR:TAG_4560_2_290,AVG
109,2016-01-27 00:00:01,c,DAY,109,HV10_W_MONTH 일별 그래프,HV10_W_MONTH:TAG_4560_2_291,AVG
110,2016-01-27 00:00:01,c,DAY,110,HV10_W_PREVIOUS_DAY 일별 그래프,HV10_W_PREVIOUS_DAY:TAG_4560_2_292,AVG
111,2016-01-27 00:00:01,c,DAY,111,HV10_W_PREVIOUS_MONTH 일별 그래프,HV10_W_PREVIOUS_MONTH:TAG_4560_2_293,AVG
112,2016-01-27 00:00:01,c,DAY,112,HV10_W_PREVIOUS_YEAR 일별 그래프,HV10_W_PREVIOUS_YEAR:TAG_4560_2_294,AVG
113,2016-01-27 00:00:01,c,DAY,113,HV10_W_TODAY 일별 그래프,HV10_W_TODAY:TAG_4560_2_295,AVG
114,2016-01-27 00:00:01,c,DAY,114,HV10_W_YEAR 일별 그래프,HV10_W_YEAR:TAG_4560_2_296,AVG
115,2016-01-27 00:00:01,c,DAY,115,GEN1_W_MONTH 일별 그래프,GEN1_W_MONTH:TAG_4560_2_297,AVG
116,2016-01-27 00:00:01,c,DAY,116,GEN1_W_PREVIOUS_DAY 일별 그래프,GEN1_W_PREVIOUS_DAY:TAG_4560_2_298,AVG
117,2016-01-27 00:00:01,c,DAY,117,GEN1_W_PREVIOUS_MONTH 일별 그래프,GEN1_W_PREVIOUS_MONTH:TAG_4560_2_299,AVG
118,2016-01-27 00:00:01,c,DAY,118,HV6_WH_MONTH 일별 그래프,HV6_WH_MONTH:TAG_4560_2_30,AVG
119,2016-01-27 00:00:01,c,DAY,119,GEN1_W_PREVIOUS_YEAR 일별 그래프,GEN1_W_PREVIOUS_YEAR:TAG_4560_2_300,AVG
120,2016-01-27 00:00:01,c,DAY,120,GEN1_W_TODAY 일별 그래프,GEN1_W_TODAY:TAG_4560_2_301,AVG
121,2016-01-27 00:00:01,c,DAY,121,GEN1_W_YEAR 일별 그래프,GEN1_W_YEAR:TAG_4560_2_302,AVG
122,2016-01-27 00:00:01,c,DAY,122,LV1_W_MONTH 일별 그래프,LV1_W_MONTH:TAG_4560_2_303,AVG
