animateType,name,no,tagAddr,tagID,interval,criteria
NULL,deviceIndex.3,47,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.3,1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.3,NULL,NULL
NULL,deviceIndex.4,48,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.4,1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.4,NULL,NULL
NULL,deviceName.1,49,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.1,1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.1,NULL,NULL
NULL,deviceName.2,50,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.2,1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.2,NULL,NULL
NULL,deviceName.3,51,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.3,1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.3,NULL,NULL
NULL,deviceName.4,52,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.4,1.3.6.1.4.1.318.1.1.1.5.1.2.1.2.4,NULL,NULL
NULL,vaRating.1,53,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.1,1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.1,NULL,NULL
NULL,vaRating.2,54,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.2,1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.2,NULL,NULL
NULL,vaRating.3,55,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.3,1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.3,NULL,NULL
NULL,vaRating.4,56,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.4,1.3.6.1.4.1.318.1.1.1.5.1.2.1.3.4,NULL,NULL
NULL,acceptThisDevice.1,57,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.1,1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.1,NULL,NULL
NULL,acceptThisDevice.2,58,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.2,1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.2,NULL,NULL
NULL,acceptThisDevice.3,59,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.3,1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.3,NULL,NULL
NULL,acceptThisDevice.4,60,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.4,1.3.6.1.4.1.318.1.1.1.5.1.2.1.4.4,NULL,NULL
NULL,upsAdvConfigRatedOutputVoltage.0,61,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.1.0,1.3.6.1.4.1.318.1.1.1.5.2.1.0,NULL,NULL
NULL,upsAdvConfigHighTransferVolt.0,62,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.2.0,1.3.6.1.4.1.318.1.1.1.5.2.2.0,NULL,NULL
NULL,upsAdvConfigLowTransferVolt.0,63,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.3.0,1.3.6.1.4.1.318.1.1.1.5.2.3.0,NULL,NULL
NULL,upsAdvConfigAlarm.0,64,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.4.0,1.3.6.1.4.1.318.1.1.1.5.2.4.0,NULL,NULL
NULL,upsAdvConfigAlarmTimer.0,65,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.5.0,1.3.6.1.4.1.318.1.1.1.5.2.5.0,NULL,NULL
NULL,upsAdvConfigMinReturnCapacity.0,66,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.6.0,1.3.6.1.4.1.318.1.1.1.5.2.6.0,NULL,NULL
NULL,upsAdvConfigSensitivity.0,67,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.7.0,1.3.6.1.4.1.318.1.1.1.5.2.7.0,NULL,NULL
NULL,upsAdvConfigLowBatteryRunTime.0,68,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.8.0,1.3.6.1.4.1.318.1.1.1.5.2.8.0,NULL,NULL
NULL,upsAdvConfigReturnDelay.0,69,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.9.0,1.3.6.1.4.1.318.1.1.1.5.2.9.0,NULL,NULL
NULL,upsAdvConfigShutoffDelay.0,70,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.10.0,1.3.6.1.4.1.318.1.1.1.5.2.10.0,NULL,NULL
NULL,upsAdvConfigUpsSleepTime.0,71,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.11.0,1.3.6.1.4.1.318.1.1.1.5.2.11.0,NULL,NULL
NULL,upsAdvConfigSetEEPROMDefaults.0,72,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.12.0,1.3.6.1.4.1.318.1.1.1.5.2.12.0,NULL,NULL
NULL,dipSwitchIndex.1,73,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.13.1.1.1,1.3.6.1.4.1.318.1.1.1.5.2.13.1.1.1,NULL,NULL
NULL,dipSwitchStatus.1,74,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.13.1.2.1,1.3.6.1.4.1.318.1.1.1.5.2.13.1.2.1,NULL,NULL
NULL,upsAdvConfigBattExhaustThresh.0,75,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.14.0,1.3.6.1.4.1.318.1.1.1.5.2.14.0,NULL,NULL
NULL,upsAdvConfigPassword.0,76,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.15.0,1.3.6.1.4.1.318.1.1.1.5.2.15.0,NULL,NULL
NULL,apcUpsConfigFieldIndex.1,77,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.1,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.1,NULL,NULL
NULL,apcUpsConfigFieldIndex.2,78,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.2,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.2,NULL,NULL
NULL,apcUpsConfigFieldIndex.3,79,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.3,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.3,NULL,NULL
NULL,apcUpsConfigFieldIndex.4,80,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.4,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.4,NULL,NULL
NULL,apcUpsConfigFieldIndex.5,81,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.5,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.5,NULL,NULL
NULL,apcUpsConfigFieldIndex.6,82,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.6,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.6,NULL,NULL
NULL,apcUpsConfigFieldIndex.7,83,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.7,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.7,NULL,NULL
NULL,apcUpsConfigFieldIndex.8,84,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.8,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.8,NULL,NULL
NULL,apcUpsConfigFieldIndex.9,85,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.9,1.3.6.1.4.1.318.1.1.1.5.2.16.1.1.9,NULL,NULL
NULL,apcUpsConfigFieldOID.1,86,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.1,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.1,NULL,NULL
NULL,apcUpsConfigFieldOID.2,87,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.2,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.2,NULL,NULL
NULL,apcUpsConfigFieldOID.3,88,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.3,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.3,NULL,NULL
NULL,apcUpsConfigFieldOID.4,89,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.4,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.4,NULL,NULL
NULL,apcUpsConfigFieldOID.5,90,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.5,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.5,NULL,NULL
NULL,apcUpsConfigFieldOID.6,91,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.6,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.6,NULL,NULL
NULL,apcUpsConfigFieldOID.7,92,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.7,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.7,NULL,NULL
